keyword,frequency,region,source_seed,source_block,collected_at,intent,cluster,notes
сайт для воспитателей детских садов,1125,Все регионы,сайт для детского сада,unknown,2026-07-08T09:14:19.308Z,mixed,сайт воспитателей,все-регионы__сайт-для-детского-сада.json
сайт для клиники,1110,Все регионы,сайт для клиники,unknown,2026-07-08T09:12:25.286Z,mixed,сайт клиники,все-регионы__сайт-для-клиники.json
сайты для юристов,1107,Все регионы,сайт для юриста,unknown,2026-07-08T09:14:32.023Z,mixed,сайты юристов,все-регионы__сайт-для-юриста.json
разработка сайта под ключ,977,Все регионы,сайт под ключ,unknown,2026-07-08T14:18:35.475Z,commercial,разработка сайта,все-регионы__сайт-под-ключ.json
официальный сайт интернет магазин для женщин,973,Все регионы,сайт для интернет магазина,unknown,2026-07-08T09:15:24.264Z,mixed,официальный сайт,все-регионы__сайт-для-интернет-магазина.json
сайт для класса школы,941,Все регионы,сайт для школы,contains,2026-07-08T09:14:04.585Z,mixed,сайт класса,все-регионы__сайт-для-школы.json
официальный сайт для детского сада,918,Все регионы,сайт для детского сада,unknown,2026-07-08T09:14:19.309Z,mixed,официальный сайт,все-регионы__сайт-для-детского-сада.json
сайт для автосервиса,911,Все регионы,сайт для автосервиса,unknown,2026-07-08T09:15:11.533Z,mixed,сайт автосервиса,все-регионы__сайт-для-автосервиса.json
купить сайт для интернет магазина,882,Все регионы,сайт для интернет магазина,unknown,2026-07-08T09:15:24.264Z,commercial,купить сайт,все-регионы__сайт-для-интернет-магазина.json
бизнес сайты для малого бизнеса,857,Все регионы,сайт для бизнеса,unknown,2026-07-08T09:11:26.562Z,mixed,бизнес сайты,все-регионы__сайт-для-бизнеса.json
сайт для стоматологии,804,Все регионы,сайт для стоматологии,unknown,2026-07-08T09:12:40.206Z,mixed,сайт стоматологии,все-регионы__сайт-для-стоматологии.json
сайт для онлайн школы,799,Все регионы,сайт для школы,contains,2026-07-08T09:14:04.585Z,mixed,сайт онлайн,все-регионы__сайт-для-школы.json
сайт под ключ цена,733,Все регионы,сайт под ключ,unknown,2026-07-08T14:18:35.475Z,commercial,сайт ключ,все-регионы__сайт-под-ключ.json
информация для сайта школы,687,Все регионы,сайт для школы,contains,2026-07-08T09:14:04.585Z,mixed,информация сайта,все-регионы__сайт-для-школы.json
официальный сайт под ключ,687,Все регионы,сайт под ключ,unknown,2026-07-08T14:18:35.475Z,commercial,официальный сайт,все-регионы__сайт-под-ключ.json
сайты одежды для интернет магазина,666,Все регионы,сайт для интернет магазина,unknown,2026-07-08T09:15:24.264Z,mixed,сайты одежды,все-регионы__сайт-для-интернет-магазина.json
сайт сбербанка для бизнеса,640,Все регионы,сайт для бизнеса,unknown,2026-07-08T09:11:26.562Z,mixed,сайт сбербанка,все-регионы__сайт-для-бизнеса.json
оборудование для автосервиса сайт,560,Все регионы,сайт для автосервиса,unknown,2026-07-08T09:15:11.533Z,mixed,оборудование автосервиса,все-регионы__сайт-для-автосервиса.json
оборудование для автосервиса официальный сайт,549,Все регионы,сайт для автосервиса,unknown,2026-07-08T09:15:11.533Z,mixed,оборудование автосервиса,все-регионы__сайт-для-автосервиса.json
заказать сайт под ключ,544,Все регионы,сайт под ключ,unknown,2026-07-08T14:18:35.476Z,commercial,заказать сайт,все-регионы__сайт-под-ключ.json
какой сайт для услуг,531,Все регионы,сайт для услуг,unknown,2026-07-08T09:11:57.324Z,mixed,какой сайт,все-регионы__сайт-для-услуг.json
сбербанк для бизнеса официальный сайт,523,Все регионы,сайт для бизнеса,unknown,2026-07-08T09:11:26.562Z,mixed,сбербанк бизнеса,все-регионы__сайт-для-бизнеса.json
сайт посуды для ресторанов,516,Все регионы,сайт для ресторана,unknown,2026-07-08T09:13:09.255Z,mixed,сайт посуды,все-регионы__сайт-для-ресторана.json
заказать сайт такси,507,Все регионы,заказать сайт такси,unknown,2026-07-08T14:01:51.039Z,commercial,заказать сайт,все-регионы__заказать-сайт-такси.json
сайты для школы дистанционно,500,Все регионы,сайт для школы,contains,2026-07-08T09:14:04.585Z,mixed,сайты школы,все-регионы__сайт-для-школы.json
сайт для школы интернат,499,Все регионы,сайт для школы,contains,2026-07-08T09:14:04.586Z,mixed,сайт школы,все-регионы__сайт-для-школы.json
сайты для начальной школы,497,Все регионы,сайт для школы,contains,2026-07-08T09:14:04.586Z,mixed,сайты начальной,все-регионы__сайт-для-школы.json
посуда для ресторанов официальный сайт,493,Все регионы,сайт для ресторана,unknown,2026-07-08T09:13:09.255Z,mixed,посуда ресторанов,все-регионы__сайт-для-ресторана.json
для сайтов кафе,490,Все регионы,сайт для кафе,unknown,2026-07-08T09:13:22.696Z,mixed,сайтов кафе,все-регионы__сайт-для-кафе.json
сайт школы для дистанционного обучения,490,Все регионы,сайт для школы,contains,2026-07-08T09:14:04.586Z,mixed,сайт школы,все-регионы__сайт-для-школы.json
сайты для оплаты услуг,457,Все регионы,сайт для услуг,unknown,2026-07-08T09:11:57.324Z,mixed,сайты оплаты,все-регионы__сайт-для-услуг.json
сайт для салона красоты,456,Все регионы,сайт для салона красоты,unknown,2026-07-08T09:12:54.094Z,mixed,сайт салона,все-регионы__сайт-для-салона-красоты.json
сайт домов под ключ,455,Все регионы,сайт под ключ,unknown,2026-07-08T14:18:35.476Z,commercial,сайт домов,все-регионы__сайт-под-ключ.json
создать сайт для бизнеса,448,Все регионы,сайт для бизнеса,unknown,2026-07-08T09:11:26.562Z,mixed,создать сайт,все-регионы__сайт-для-бизнеса.json
сайт для оказания услуг,442,Все регионы,сайт для услуг,unknown,2026-07-08T09:11:57.324Z,mixed,сайт оказания,все-регионы__сайт-для-услуг.json
сайт для отелей россии,440,Все регионы,сайт для отеля,unknown,2026-07-08T09:14:56.379Z,mixed,сайт отелей,все-регионы__сайт-для-отеля.json
сайт для интернет бизнеса,420,Все регионы,сайт для бизнеса,unknown,2026-07-08T09:11:26.562Z,mixed,сайт интернет,все-регионы__сайт-для-бизнеса.json
сайт для страховой компании,407,Все регионы,сайт для компании,unknown,2026-07-08T09:11:42.138Z,mixed,сайт страховой,все-регионы__сайт-для-компании.json
лучшие сайты для отелей,405,Все регионы,сайт для отеля,unknown,2026-07-08T09:14:56.380Z,mixed,лучшие сайты,все-регионы__сайт-для-отеля.json
компании для создания сайтов,403,Все регионы,сайт для компании,unknown,2026-07-08T09:11:42.138Z,mixed,компании создания,все-регионы__сайт-для-компании.json
сайт для доставки еды,403,Все регионы,сайт для доставки,unknown,2026-07-08T09:15:39.482Z,mixed,сайт доставки,все-регионы__сайт-для-доставки.json
официальный сайт для записи к врачу,397,Все регионы,сайт для врача,unknown,2026-07-08T09:12:11.551Z,mixed,официальный сайт,все-регионы__сайт-для-врача.json
веб сайта для компании,395,Все регионы,сайт для компании,unknown,2026-07-08T09:11:42.138Z,mixed,веб сайта,все-регионы__сайт-для-компании.json
сайты для размещения услуг,391,Все регионы,сайт для услуг,unknown,2026-07-08T09:11:57.324Z,mixed,сайты размещения,все-регионы__сайт-для-услуг.json
сайт интернет магазин одежды для женщин,380,Все регионы,сайт для интернет магазина,unknown,2026-07-08T09:15:24.264Z,mixed,сайт интернет,все-регионы__сайт-для-интернет-магазина.json
конструктор сайтов для интернет магазина,379,Все регионы,сайт для интернет магазина,unknown,2026-07-08T09:15:24.264Z,mixed,конструктор сайтов,все-регионы__сайт-для-интернет-магазина.json
сайт для услуг в интернете,377,Все регионы,сайт для услуг,unknown,2026-07-08T09:11:57.324Z,mixed,сайт услуг,все-регионы__сайт-для-услуг.json
купить сайт для бизнеса,375,Все регионы,сайт для бизнеса,unknown,2026-07-08T09:11:26.562Z,commercial,купить сайт,все-регионы__сайт-для-бизнеса.json
официальный сайт для малого бизнеса,374,Все регионы,сайт для бизнеса,unknown,2026-07-08T09:11:26.562Z,mixed,официальный сайт,все-регионы__сайт-для-бизнеса.json
сайт воспитатель ру для воспитателей детского сада,374,Все регионы,сайт для детского сада,unknown,2026-07-08T09:14:19.309Z,mixed,сайт воспитатель,все-регионы__сайт-для-детского-сада.json
сайт под ключ москва,371,Все регионы,сайт под ключ,unknown,2026-07-08T14:18:35.476Z,commercial,сайт ключ,все-регионы__сайт-под-ключ.json
официальные сайты для юристов,368,Все регионы,сайт для юриста,unknown,2026-07-08T09:14:32.023Z,mixed,официальные сайты,все-регионы__сайт-для-юриста.json
сайта для учителей школ,365,Все регионы,сайт для школы,contains,2026-07-08T09:14:04.586Z,mixed,сайта учителей,все-регионы__сайт-для-школы.json
сайт для начинающих бизнес,364,Все регионы,сайт для бизнеса,unknown,2026-07-08T09:11:26.563Z,mixed,сайт начинающих,все-регионы__сайт-для-бизнеса.json
сайт банка бизнес для бизнеса,363,Все регионы,сайт для бизнеса,unknown,2026-07-08T09:11:26.563Z,mixed,сайт банка,все-регионы__сайт-для-бизнеса.json
сайт для начала бизнеса,360,Все регионы,сайт для бизнеса,unknown,2026-07-08T09:11:26.563Z,mixed,сайт начала,все-регионы__сайт-для-бизнеса.json
сайт для доставки заказов,349,Все регионы,сайт для доставки,unknown,2026-07-08T09:15:39.482Z,mixed,сайт доставки,все-регионы__сайт-для-доставки.json
сайты для образования в школе,349,Все регионы,сайт для школы,contains,2026-07-08T09:14:04.586Z,mixed,сайты образования,все-регионы__сайт-для-школы.json
сайт документы для школ,347,Все регионы,сайт для школы,contains,2026-07-08T09:14:04.586Z,mixed,сайт документы,все-регионы__сайт-для-школы.json
сайты для бронирования отелей в россии,347,Все регионы,сайт для отеля,unknown,2026-07-08T09:14:56.380Z,mixed,сайты бронирования,все-регионы__сайт-для-отеля.json
сайт для выпускников школ,345,Все регионы,сайт для школы,contains,2026-07-08T09:14:04.586Z,mixed,сайт выпускников,все-регионы__сайт-для-школы.json
создание сайта для бизнеса,345,Все регионы,сайт для бизнеса,unknown,2026-07-08T09:11:26.563Z,mixed,создание сайта,все-регионы__сайт-для-бизнеса.json
яндекс сайт для бизнеса,342,Все регионы,сайт для бизнеса,unknown,2026-07-08T09:11:26.563Z,mixed,яндекс сайт,все-регионы__сайт-для-бизнеса.json
сайт юрист для людей,338,Все регионы,сайт для юриста,unknown,2026-07-08T09:14:32.023Z,mixed,сайт юрист,все-регионы__сайт-для-юриста.json
сайт для осужденных интернет магазин,333,Все регионы,сайт для интернет магазина,unknown,2026-07-08T09:15:24.264Z,mixed,сайт осужденных,все-регионы__сайт-для-интернет-магазина.json
сайт сбербанка для малого бизнеса,331,Все регионы,сайт для бизнеса,unknown,2026-07-08T09:11:26.563Z,mixed,сайт сбербанка,все-регионы__сайт-для-бизнеса.json
дом под ключ официальный сайт,327,Все регионы,сайт под ключ,unknown,2026-07-08T14:18:35.476Z,commercial,дом ключ,все-регионы__сайт-под-ключ.json
калужское интернет магазин для осужденных официальный сайт,327,Все регионы,сайт для интернет магазина,unknown,2026-07-08T09:15:24.264Z,mixed,калужское интернет,все-регионы__сайт-для-интернет-магазина.json
рестинтернейшен посуда для ресторана официальный сайт,318,Все регионы,сайт для ресторана,unknown,2026-07-08T09:13:09.255Z,mixed,рестинтернейшен посуда,все-регионы__сайт-для-ресторана.json
сайт для поиска отелей,317,Все регионы,сайт для отеля,unknown,2026-07-08T09:14:56.380Z,mixed,сайт поиска,все-регионы__сайт-для-отеля.json
сайт для поступления в школу,317,Все регионы,сайт для школы,contains,2026-07-08T09:14:04.587Z,mixed,сайт поступления,все-регионы__сайт-для-школы.json
сайт игрушки для детских садов,317,Все регионы,сайт для детского сада,unknown,2026-07-08T09:14:19.309Z,mixed,сайт игрушки,все-регионы__сайт-для-детского-сада.json
сайт в интернете для компании,313,Все регионы,сайт для компании,unknown,2026-07-08T09:11:42.139Z,mixed,сайт интернете,все-регионы__сайт-для-компании.json
лучшие сайты для бронирования отелей,311,Все регионы,сайт для отеля,unknown,2026-07-08T09:14:56.380Z,mixed,лучшие сайты,все-регионы__сайт-для-отеля.json
сайт мебель для детских садов,311,Все регионы,сайт для детского сада,unknown,2026-07-08T09:14:19.309Z,mixed,сайт мебель,все-регионы__сайт-для-детского-сада.json
игрушки для детских садов официальный сайт,307,Все регионы,сайт для детского сада,unknown,2026-07-08T09:14:19.309Z,mixed,игрушки детских,все-регионы__сайт-для-детского-сада.json
сайт стендов для школы,306,Все регионы,сайт для школы,contains,2026-07-08T09:14:04.587Z,mixed,сайт стендов,все-регионы__сайт-для-школы.json
продажа сайтов для интернет магазинов,304,Все регионы,сайт для интернет магазина,unknown,2026-07-08T09:15:24.265Z,mixed,продажа сайтов,все-регионы__сайт-для-интернет-магазина.json
официальный сайт сбербанка для малого бизнеса,302,Все регионы,сайт для бизнеса,unknown,2026-07-08T09:11:26.563Z,mixed,официальный сайт,все-регионы__сайт-для-бизнеса.json
корпоративный сайт для компании,297,Все регионы,сайт для компании,unknown,2026-07-08T09:11:42.139Z,mixed,корпоративный сайт,все-регионы__сайт-для-компании.json
ля рош сайт для врачей,295,Все регионы,сайт для врача,unknown,2026-07-08T09:12:11.551Z,mixed,рош сайт,все-регионы__сайт-для-врача.json
школа для родителей сайт,295,Все регионы,сайт для школы,contains,2026-07-08T09:14:04.587Z,mixed,школа родителей,все-регионы__сайт-для-школы.json
заказ сайта для интернет магазина,289,Все регионы,сайт для интернет магазина,unknown,2026-07-08T09:15:24.265Z,mixed,заказ сайта,все-регионы__сайт-для-интернет-магазина.json
медицинский сайт для врачей,289,Все регионы,сайт для врача,unknown,2026-07-08T09:12:11.551Z,mixed,медицинский сайт,все-регионы__сайт-для-врача.json
бесплатный интернет магазин для сайта,287,Все регионы,сайт для интернет магазина,unknown,2026-07-08T09:15:24.265Z,mixed,бесплатный интернет,все-регионы__сайт-для-интернет-магазина.json
открыт сайт для бизнеса,287,Все регионы,сайт для бизнеса,unknown,2026-07-08T09:11:26.564Z,mixed,открыт сайт,все-регионы__сайт-для-бизнеса.json
создадим сайт для компаний,287,Все регионы,сайт для компании,unknown,2026-07-08T09:11:42.139Z,mixed,создадим сайт,все-регионы__сайт-для-компании.json
юрист для людей официальный сайт,287,Все регионы,сайт для юриста,unknown,2026-07-08T09:14:32.023Z,mixed,юрист людей,все-регионы__сайт-для-юриста.json
стенды для школы официальный сайт,285,Все регионы,сайт для школы,contains,2026-07-08T09:14:04.587Z,mixed,стенды школы,все-регионы__сайт-для-школы.json
интернет магазин запчастей для сайта,284,Все регионы,сайт для интернет магазина,unknown,2026-07-08T09:15:24.265Z,mixed,интернет магазин,все-регионы__сайт-для-интернет-магазина.json
новость для сайта детского сада,284,Все регионы,сайт для детского сада,unknown,2026-07-08T09:14:19.309Z,mixed,новость сайта,все-регионы__сайт-для-детского-сада.json
открыть сайт для бизнеса,284,Все регионы,сайт для бизнеса,unknown,2026-07-08T09:11:26.564Z,mixed,открыть сайт,все-регионы__сайт-для-бизнеса.json
сайт детский сад для детей,284,Все регионы,сайт для детского сада,unknown,2026-07-08T09:14:19.309Z,mixed,сайт детский,все-регионы__сайт-для-детского-сада.json
мебель для детского сада официальный сайт,282,Все регионы,сайт для детского сада,unknown,2026-07-08T09:14:19.309Z,mixed,мебель детского,все-регионы__сайт-для-детского-сада.json
бесплатные сайты для услуг,277,Все регионы,сайт для услуг,unknown,2026-07-08T09:11:57.324Z,mixed,бесплатные сайты,все-регионы__сайт-для-услуг.json
калипсо стенды для школы официальный сайт,277,Все регионы,сайт для школы,contains,2026-07-08T09:14:04.587Z,mixed,калипсо стенды,все-регионы__сайт-для-школы.json
сайт ростелеком для бизнеса,277,Все регионы,сайт для бизнеса,unknown,2026-07-08T09:11:26.564Z,mixed,сайт ростелеком,все-регионы__сайт-для-бизнеса.json
сайты интернет магазинов для дома,277,Все регионы,сайт для интернет магазина,unknown,2026-07-08T09:15:24.265Z,mixed,сайты интернет,все-регионы__сайт-для-интернет-магазина.json
анализ сайтов для бизнеса,274,Все регионы,сайт для бизнеса,unknown,2026-07-08T09:11:26.564Z,mixed,анализ сайтов,все-регионы__сайт-для-бизнеса.json
сайт для управляющей компании,273,Все регионы,сайт для компании,unknown,2026-07-08T09:11:42.139Z,mixed,сайт управляющей,все-регионы__сайт-для-компании.json
веб сайты для бизнеса,271,Все регионы,сайт для бизнеса,unknown,2026-07-08T09:11:26.564Z,mixed,веб сайты,все-регионы__сайт-для-бизнеса.json
сколько стоит сайт под ключ,267,Все регионы,сайт под ключ,unknown,2026-07-08T14:18:35.476Z,commercial,сколько стоит,все-регионы__сайт-под-ключ.json
сайт для сотрудников компании,266,Все регионы,сайт для компании,unknown,2026-07-08T09:11:42.139Z,mixed,сайт сотрудников,все-регионы__сайт-для-компании.json
банк бизнес для бизнеса официальный сайт,265,Все регионы,сайт для бизнеса,unknown,2026-07-08T09:11:26.564Z,mixed,банк бизнес,все-регионы__сайт-для-бизнеса.json
нордберг оборудование для автосервиса официальный сайт,264,Все регионы,сайт для автосервиса,unknown,2026-07-08T09:15:11.533Z,mixed,нордберг оборудование,все-регионы__сайт-для-автосервиса.json
сайт под ключ стоимость,263,Все регионы,сайт под ключ,unknown,2026-07-08T14:18:35.477Z,commercial,сайт ключ,все-регионы__сайт-под-ключ.json
интернист сайт для врачей,262,Все регионы,сайт для врача,unknown,2026-07-08T09:12:11.551Z,mixed,интернист сайт,все-регионы__сайт-для-врача.json
создать сайт для интернет магазина,262,Все регионы,сайт для интернет магазина,unknown,2026-07-08T09:15:24.265Z,mixed,создать сайт,все-регионы__сайт-для-интернет-магазина.json
интернет магазины сайты для волос,261,Все регионы,сайт для интернет магазина,unknown,2026-07-08T09:15:24.265Z,mixed,интернет магазины,все-регионы__сайт-для-интернет-магазина.json
сайт для записи на прием к врачу,261,Все регионы,сайт для врача,unknown,2026-07-08T09:12:11.551Z,mixed,сайт записи,все-регионы__сайт-для-врача.json
разработка сайта для компании,260,Все регионы,сайт для компании,unknown,2026-07-08T09:11:42.139Z,mixed,разработка сайта,все-регионы__сайт-для-компании.json
для волос официальный сайт интернет магазин,254,Все регионы,сайт для интернет магазина,unknown,2026-07-08T09:15:24.265Z,mixed,волос официальный,все-регионы__сайт-для-интернет-магазина.json
бесплатный сайт для бизнеса,253,Все регионы,сайт для бизнеса,unknown,2026-07-08T09:11:26.565Z,mixed,бесплатный сайт,все-регионы__сайт-для-бизнеса.json
сайт оборудование для ресторана,252,Все регионы,сайт для ресторана,unknown,2026-07-08T09:13:09.255Z,mixed,сайт оборудование,все-регионы__сайт-для-ресторана.json
сайты интернет магазинов для животных,251,Все регионы,сайт для интернет магазина,unknown,2026-07-08T09:15:24.265Z,mixed,сайты интернет,все-регионы__сайт-для-интернет-магазина.json
фото для сайта интернет магазина,251,Все регионы,сайт для интернет магазина,unknown,2026-07-08T09:15:24.266Z,mixed,фото сайта,все-регионы__сайт-для-интернет-магазина.json
мос ру услуги для граждан официальный сайт,245,Все регионы,сайт для услуг,unknown,2026-07-08T09:11:57.324Z,commercial,мос услуги,все-регионы__сайт-для-услуг.json
сайт для доставки цена,244,Все регионы,сайт для доставки,unknown,2026-07-08T09:15:39.482Z,commercial,сайт доставки,все-регионы__сайт-для-доставки.json
проект сайт для бизнеса,243,Все регионы,сайт для бизнеса,unknown,2026-07-08T09:11:26.565Z,mixed,проект сайт,все-регионы__сайт-для-бизнеса.json
сайты для поиска компаний,242,Все регионы,сайт для компании,unknown,2026-07-08T09:11:42.139Z,mixed,сайты поиска,все-регионы__сайт-для-компании.json
ростелеком официальный сайт для бизнеса,238,Все регионы,сайт для бизнеса,unknown,2026-07-08T09:11:26.565Z,mixed,ростелеком официальный,все-регионы__сайт-для-бизнеса.json
сайты для рекламы услуг,237,Все регионы,сайт для услуг,unknown,2026-07-08T09:11:57.324Z,mixed,сайты рекламы,все-регионы__сайт-для-услуг.json
сайты для поиска услуг,233,Все регионы,сайт для услуг,unknown,2026-07-08T09:11:57.325Z,mixed,сайты поиска,все-регионы__сайт-для-услуг.json
образовательные сайты для школы,231,Все регионы,сайт для школы,contains,2026-07-08T09:14:04.587Z,mixed,образовательные сайты,все-регионы__сайт-для-школы.json
разработка сайтов для бизнеса,231,Все регионы,сайт для бизнеса,unknown,2026-07-08T09:11:26.565Z,mixed,разработка сайтов,все-регионы__сайт-для-бизнеса.json
какой сайт для интернет магазина,230,Все регионы,сайт для интернет магазина,unknown,2026-07-08T09:15:24.266Z,mixed,какой сайт,все-регионы__сайт-для-интернет-магазина.json
сайты интернет магазинов для иномарок,229,Все регионы,сайт для интернет магазина,unknown,2026-07-08T09:15:24.266Z,mixed,сайты интернет,все-регионы__сайт-для-интернет-магазина.json
интернет магазин для дома официальный сайт,228,Все регионы,сайт для интернет магазина,unknown,2026-07-08T09:15:24.266Z,mixed,интернет магазин,все-регионы__сайт-для-интернет-магазина.json
для нужен сайт школы,226,Все регионы,сайт для школы,contains,2026-07-08T09:14:04.587Z,mixed,нужен сайт,все-регионы__сайт-для-школы.json
сайт интернет магазин для мужчин,222,Все регионы,сайт для интернет магазина,unknown,2026-07-08T09:15:24.266Z,mixed,сайт интернет,все-регионы__сайт-для-интернет-магазина.json
сайт для юридических услуг,216,Все регионы,сайт для услуг,unknown,2026-07-08T09:11:57.325Z,mixed,сайт юридических,все-регионы__сайт-для-услуг.json
сделать сайт под ключ,215,Все регионы,сайт под ключ,unknown,2026-07-08T14:18:35.477Z,commercial,сделать сайт,все-регионы__сайт-под-ключ.json
заказать такси через сайт,207,Все регионы,заказать сайт такси,unknown,2026-07-08T14:01:51.039Z,commercial,заказать такси,все-регионы__заказать-сайт-такси.json
оборудование для ресторанов официальный сайт,205,Все регионы,сайт для ресторана,unknown,2026-07-08T09:13:09.255Z,mixed,оборудование ресторанов,все-регионы__сайт-для-ресторана.json
сайт детского сада для родителей,205,Все регионы,сайт для детского сада,unknown,2026-07-08T09:14:19.309Z,mixed,сайт детского,все-регионы__сайт-для-детского-сада.json
информация о компании для сайта,203,Все регионы,сайт для компании,unknown,2026-07-08T09:11:42.139Z,mixed,информация компании,все-регионы__сайт-для-компании.json
сайт для группы детского сада,202,Все регионы,сайт для детского сада,unknown,2026-07-08T09:14:19.309Z,mixed,сайт группы,все-регионы__сайт-для-детского-сада.json
новый сайт для бизнеса,201,Все регионы,сайт для бизнеса,unknown,2026-07-08T09:11:26.565Z,mixed,новый сайт,все-регионы__сайт-для-бизнеса.json
сайт для врачей москва,199,Все регионы,сайт для врача,unknown,2026-07-08T09:12:11.551Z,geo,сайт врачей,все-регионы__сайт-для-врача.json
сделать сайт для бизнеса,199,Все регионы,сайт для бизнеса,unknown,2026-07-08T09:11:26.566Z,mixed,сделать сайт,все-регионы__сайт-для-бизнеса.json
интернет магазин сайты для заказа товаров,194,Все регионы,сайт для интернет магазина,unknown,2026-07-08T09:15:24.266Z,mixed,интернет магазин,все-регионы__сайт-для-интернет-магазина.json
создать сайт под ключ,193,Все регионы,сайт под ключ,unknown,2026-07-08T14:18:35.477Z,commercial,создать сайт,все-регионы__сайт-под-ключ.json
сайт для школы россии,191,Все регионы,сайт для школы,contains,2026-07-08T09:14:04.587Z,mixed,сайт школы,все-регионы__сайт-для-школы.json
сайты для продвижения услуг,189,Все регионы,сайт для услуг,unknown,2026-07-08T09:11:57.325Z,mixed,сайты продвижения,все-регионы__сайт-для-услуг.json
ля роше официальный сайт для врачей,188,Все регионы,сайт для врача,unknown,2026-07-08T09:12:11.551Z,mixed,роше официальный,все-регионы__сайт-для-врача.json
сайты для бизнеса онлайн,188,Все регионы,сайт для бизнеса,unknown,2026-07-08T09:11:26.566Z,mixed,сайты бизнеса,все-регионы__сайт-для-бизнеса.json
подготовка для школы сайты,187,Все регионы,сайт для школы,contains,2026-07-08T09:14:04.588Z,mixed,подготовка школы,все-регионы__сайт-для-школы.json
сайт для строительных компаний,186,Все регионы,сайт для компании; сайт для строительной компании,unknown,2026-07-08T09:11:42.139Z,mixed,сайт строительных,все-регионы__сайт-для-компании.json; also:все-регионы__сайт-для-строительной-компании.json
